packet_idx,label_channel,old_level_upper,old_level_lower,old_peak_upper,old_peak_lower,old_shift_upper,old_shift_lower,old_peak_value_upper,old_peak_value_lower
0,,,,,,,,,
1,,,774,,59,,-4,,774
2,,,774,,59,,-4,,774
3,,2670,774,56,59,-3,-4,2670,774
4,,3430,774,76,59,-6,-4,3430,774
5,,3430,860,76,59,-6,7,3430,860
6,,4050,860,54,59,-3,7,4050,860
7,,4050,1008,54,70,-3,-1,4050,1008
8,,4050,1550,54,74,-3,8,4050,1550
9,,5720,1550,55,74,12,8,5720,1550
10,,2068,1550,56,74,11,8,2068,1550
11,,2068,341,56,76,11,6,2068,341
12,,4437,341,54,76,3,6,4437,341
13,,1650,341,35,76,0,6,1650,341
14,,1650,475,35,40,0,-4,1650,475
15,,1650,390,35,63,0,12,1650,390
16,,2550,390,40,63,11,12,2550,390
17,,2550,585,40,63,11,-4,2550,585
18,,3636,585,66,63,-10,-4,3636,585
19,,3636,855,66,63,-10,-4,3636,855
20,,26910,855,10,63,2,-4,26910,855
21,,333960,855,20,63,-8,-4,333960,855
22,,333960,8424,20,32,-8,4,333960,8424
23,,333960,179816,20,67,-8,10,333960,179816
24,,413820,179816,20,67,-8,10,413820,179816
25,,413820,214396,20,67,-8,10,413820,214396
26,,605283,214396,26,67,-12,10,605283,214396
27,,605283,220038,26,67,-12,10,605283,220038
28,,777483,220038,26,67,-11,10,777483,220038
29,,777483,189111,26,67,-11,8,777483,189111
30,,777483,220816,26,67,-11,8,777483,220816
31,,825342,220816,26,67,-11,8,825342,220816
32,,825342,221408,26,67,-11,10,825342,221408
33,,825342,198968,26,67,-11,10,825342,198968
34,,614208,198968,26,67,-12,10,614208,198968
35,,548068,198968,20,67,-8,10,548068,198968
36,,548068,180348,20,67,-8,10,548068,180348
37,,650152,180348,20,67,-8,10,650152,180348
38,,650152,156618,20,67,-8,10,650152,156618
39,,746238,156618,20,67,-8,10,746238,156618
40,,746238,139062,20,67,-8,10,746238,139062
41,,746238,173677,20,67,-8,10,746238,173677
42,,857592,173677,20,67,-8,10,857592,173677
43,,454138,173677,26,67,1,10,454138,173677
44,,537795,173677,26,67,-12,10,537795,173677
45,,541650,173677,19,67,-7,10,541650,173677
46,,541650,204258,19,67,-7,10,541650,204258
47,,541650,197178,19,67,-7,10,541650,197178
48,,488175,197178,19,67,-7,10,488175,197178
49,,488175,180468,19,67,-7,10,488175,180468
50,,573206,180468,26,67,-11,10,573206,180468
51,,573206,184356,26,67,-11,10,573206,184356
52,,602140,184356,26,67,-11,10,602140,184356
53,,491260,184356,26,67,-11,10,491260,184356
54,,491260,224186,26,67,-11,10,491260,224186
55,,491260,205668,26,67,-11,10,491260,205668
56,,491260,206190,26,67,-11,8,491260,206190
57,,491260,199870,26,67,-11,8,491260,199870
58,,496364,199870,26,67,-11,8,496364,199870
59,,584535,199870,20,67,-8,8,584535,199870
60,,584535,173052,20,67,-8,10,584535,173052
61,,637070,173052,20,67,-8,10,637070,173052
62,,637070,189126,20,67,-8,10,637070,189126
63,,703840,189126,26,67,-12,10,703840,189126
64,,679770,189126,26,67,-11,10,679770,189126
65,,679770,230601,26,67,-11,10,679770,230601
66,,805980,230601,21,67,-9,10,805980,230601
67,,805980,239775,21,67,-9,10,805980,239775
68,,805980,197241,21,67,-9,10,805980,197241
69,,725180,197241,20,67,-8,10,725180,197241
70,,688562,197241,20,67,-8,10,688562,197241
71,,688562,151833,20,67,-8,10,688562,151833
72,,688562,158574,20,67,-8,10,688562,158574
73,,705824,158574,20,67,-8,10,705824,158574
74,,695520,158574,20,67,-8,10,695520,158574
75,,695520,197600,20,67,-8,9,695520,197600
76,,587790,197600,21,67,-9,9,587790,197600
77,,587790,202000,21,67,-9,9,587790,202000
78,,527730,202000,27,67,-12,9,527730,202000
79,,527730,220685,27,67,-12,10,527730,220685
80,,411414,220685,20,67,-5,10,411414,220685
81,,411414,217626,20,67,-5,10,411414,217626
82,,411414,215136,20,67,-5,10,411414,215136
83,,411414,199584,20,74,-5,3,411414,199584
84,,511116,199584,20,74,-8,3,511116,199584
85,,584260,199584,20,74,-8,3,584260,199584
86,,554130,199584,20,74,-9,3,554130,199584
87,lower,554130,695889,20,67,-9,-11,554130,695889
88,lower,554130,3033576,20,63,-9,-7,554130,3033576
89,lower,485922,3033576,26,63,0,-7,485922,3033576
90,both,7350224,3033576,68,63,-1,-7,7350224,3033576
91,both,7350224,21857472,68,63,-1,0,7350224,21857472
92,both,68441076,21857472,63,63,3,0,68441076,21857472
93,both,68441076,133881570,63,62,3,0,68441076,1.3388157e+08
94,both,176782408,133881570,63,62,1,0,1.7678241e+08,1.3388157e+08
95,both,327035436,133881570,65,62,0,0,3.2703544e+08,1.3388157e+08
96,both,327035436,193561420,65,62,0,1,3.2703544e+08,1.9356142e+08
97,both,327035436,208338052,65,64,0,0,3.2703544e+08,2.0833805e+08
98,both,327035436,200454524,65,64,0,0,3.2703544e+08,2.0045452e+08
99,both,327035436,200607798,65,63,0,1,3.2703544e+08,2.006078e+08
100,both,323116144,200607798,65,63,0,1,3.2311614e+08,2.006078e+08
101,both,328426264,200607798,65,63,0,1,3.2842626e+08,2.006078e+08
102,both,348239012,200607798,65,63,0,1,3.4823901e+08,2.006078e+08
103,both,363589424,200607798,65,63,0,1,3.6358942e+08,2.006078e+08
104,both,363589424,207403182,65,63,0,2,3.6358942e+08,2.0740318e+08
105,both,363589424,200862858,65,64,0,1,3.6358942e+08,2.0086286e+08
106,both,377410828,200862858,65,64,1,1,3.7741083e+08,2.0086286e+08
107,both,377410828,199761361,65,64,1,1,3.7741083e+08,1.9976136e+08
108,both,378579727,199761361,66,64,0,1,3.7857973e+08,1.9976136e+08
109,both,378579727,198987703,66,64,0,1,3.7857973e+08,1.989877e+08
110,both,378579727,197126577,66,64,0,1,3.7857973e+08,1.9712658e+08
111,both,384007261,197126577,66,64,0,1,3.8400726e+08,1.9712658e+08
112,both,384007261,193961538,66,64,0,1,3.8400726e+08,1.9396154e+08
113,both,384111266,193961538,66,64,0,1,3.8411127e+08,1.9396154e+08
114,both,384111266,188946116,66,64,0,1,3.8411127e+08,1.8894612e+08
115,both,384111266,180443126,66,64,0,1,3.8411127e+08,1.8044313e+08
116,both,379125446,180443126,66,64,0,1,3.7912545e+08,1.8044313e+08
117,both,375183494,180443126,65,64,1,1,3.7518349e+08,1.8044313e+08
118,both,366759180,180443126,65,64,1,1,3.6675918e+08,1.8044313e+08
119,both,366759180,186289974,65,64,1,1,3.6675918e+08,1.8628997e+08
120,both,355720680,186289974,63,64,3,1,3.5572068e+08,1.8628997e+08
121,both,355720680,186275700,63,63,3,2,3.5572068e+08,1.862757e+08
122,both,355720680,199273500,63,63,3,0,3.5572068e+08,1.992735e+08
123,both,289131612,199273500,63,63,0,0,2.8913161e+08,1.992735e+08
124,both,234319932,199273500,63,63,0,0,2.3431993e+08,1.992735e+08
125,both,234319932,215700670,63,62,0,0,2.3431993e+08,2.1570067e+08
126,both,154600656,215700670,62,62,0,0,1.5460066e+08,2.1570067e+08
127,both,154600656,214111372,62,62,0,0,1.5460066e+08,2.1411137e+08
128,both,106904028,214111372,62,62,0,0,1.0690403e+08,2.1411137e+08
129,both,106904028,217870954,62,61,0,0,1.0690403e+08,2.1787095e+08
130,both,106904028,184346683,62,61,0,0,1.0690403e+08,1.8434668e+08
131,both,60717239,184346683,62,61,0,0,60717239,1.8434668e+08
132,both,36069227,184346683,62,61,0,0,36069227,1.8434668e+08
133,both,36069227,157338886,62,61,0,0,36069227,1.5733889e+08
134,both,17648226,157338886,61,61,0,0,17648226,1.5733889e+08
135,both,17648226,114187242,61,61,0,0,17648226,1.1418724e+08
136,both,9262616,114187242,62,61,0,0,9262616,1.1418724e+08
137,both,9262616,84054750,62,61,0,0,9262616,84054750
138,both,9262616,51809250,62,61,0,0,9262616,51809250
139,both,5030342,51809250,62,61,-1,0,5030342,51809250
140,both,2768488,51809250,67,61,-3,0,2768488,51809250
141,both,2768488,31808079,67,61,-3,0,2768488,31808079
142,both,2768488,15387673,67,62,-3,0,2768488,15387673
143,both,1499018,15387673,67,62,-1,0,1499018,15387673
144,both,905962,15387673,68,62,-2,0,905962,15387673
145,both,905962,8460361,68,63,-2,-1,905962,8460361
146,lower,698858,8460361,19,63,-7,-1,698858,8460361
147,lower,698858,3299634,19,63,-7,-1,698858,3299634
148,lower,852929,3299634,21,63,-9,-1,852929,3299634
149,lower,852929,1342368,21,63,-9,-1,852929,1342368
150,lower,710633,1342368,21,63,-9,-1,710633,1342368
151,lower,710633,501676,21,64,-9,5,710633,501676
