packet_idx,source_channel,source_phase,label_channel,mark,base_len,deleted_range_count,upper_range_start,upper_range_end,upper_range_peak,old_level_upper,old_peak_upper,old_shift_upper,old_peak_value_upper,v7_sum_power_upper_score,v7_sum_power_upper_norm,v7_sum_power_upper_peak,v7_sum_power_upper_shift,v7_sum_power_upper_noise,v7_sum_power_upper_sum_max,v7_sum_power_upper_sum_min,v7_sum_power_upper_sum_mid,v7_sum_power_upper_sum_gap,v7_sum_power_upper_sum_p2p,v7_sum_power_upper_peak_in_range,v7_product_pos_upper_score,v7_product_pos_upper_norm,v7_product_pos_upper_peak,v7_product_pos_upper_shift,v7_product_pos_upper_noise,v7_product_pos_upper_sum_max,v7_product_pos_upper_sum_min,v7_product_pos_upper_sum_mid,v7_product_pos_upper_sum_gap,v7_product_pos_upper_sum_p2p,v7_product_pos_upper_peak_in_range,v7_product_abs_upper_score,v7_product_abs_upper_norm,v7_product_abs_upper_peak,v7_product_abs_upper_shift,v7_product_abs_upper_noise,v7_product_abs_upper_sum_max,v7_product_abs_upper_sum_min,v7_product_abs_upper_sum_mid,v7_product_abs_upper_sum_gap,v7_product_abs_upper_sum_p2p,v7_product_abs_upper_peak_in_range,v7_combined_upper_score,v7_combined_upper_norm,v7_combined_upper_peak,v7_combined_upper_shift,v7_combined_upper_noise,v7_combined_upper_sum_max,v7_combined_upper_sum_min,v7_combined_upper_sum_mid,v7_combined_upper_sum_gap,v7_combined_upper_sum_p2p,v7_combined_upper_peak_in_range,v7_bipolar_guided_upper_score,v7_bipolar_guided_upper_norm,v7_bipolar_guided_upper_peak,v7_bipolar_guided_upper_shift,v7_bipolar_guided_upper_noise,v7_bipolar_guided_upper_sum_max,v7_bipolar_guided_upper_sum_min,v7_bipolar_guided_upper_sum_mid,v7_bipolar_guided_upper_sum_gap,v7_bipolar_guided_upper_sum_p2p,v7_bipolar_guided_upper_peak_in_range,v7_bipolar_pair_upper_score,v7_bipolar_pair_upper_norm,v7_bipolar_pair_upper_peak,v7_bipolar_pair_upper_shift,v7_bipolar_pair_upper_noise,v7_bipolar_pair_upper_sum_max,v7_bipolar_pair_upper_sum_min,v7_bipolar_pair_upper_sum_mid,v7_bipolar_pair_upper_sum_gap,v7_bipolar_pair_upper_sum_p2p,v7_bipolar_pair_upper_peak_in_range,v7_bipolar_p2p_upper_score,v7_bipolar_p2p_upper_norm,v7_bipolar_p2p_upper_peak,v7_bipolar_p2p_upper_shift,v7_bipolar_p2p_upper_noise,v7_bipolar_p2p_upper_sum_max,v7_bipolar_p2p_upper_sum_min,v7_bipolar_p2p_upper_sum_mid,v7_bipolar_p2p_upper_sum_gap,v7_bipolar_p2p_upper_sum_p2p,v7_bipolar_p2p_upper_peak_in_range,v7_bipolar_energy_upper_score,v7_bipolar_energy_upper_norm,v7_bipolar_energy_upper_peak,v7_bipolar_energy_upper_shift,v7_bipolar_energy_upper_noise,v7_bipolar_energy_upper_sum_max,v7_bipolar_energy_upper_sum_min,v7_bipolar_energy_upper_sum_mid,v7_bipolar_energy_upper_sum_gap,v7_bipolar_energy_upper_sum_p2p,v7_bipolar_energy_upper_peak_in_range,lower_range_start,lower_range_end,lower_range_peak,old_level_lower,old_peak_lower,old_shift_lower,old_peak_value_lower,v7_sum_power_lower_score,v7_sum_power_lower_norm,v7_sum_power_lower_peak,v7_sum_power_lower_shift,v7_sum_power_lower_noise,v7_sum_power_lower_sum_max,v7_sum_power_lower_sum_min,v7_sum_power_lower_sum_mid,v7_sum_power_lower_sum_gap,v7_sum_power_lower_sum_p2p,v7_sum_power_lower_peak_in_range,v7_product_pos_lower_score,v7_product_pos_lower_norm,v7_product_pos_lower_peak,v7_product_pos_lower_shift,v7_product_pos_lower_noise,v7_product_pos_lower_sum_max,v7_product_pos_lower_sum_min,v7_product_pos_lower_sum_mid,v7_product_pos_lower_sum_gap,v7_product_pos_lower_sum_p2p,v7_product_pos_lower_peak_in_range,v7_product_abs_lower_score,v7_product_abs_lower_norm,v7_product_abs_lower_peak,v7_product_abs_lower_shift,v7_product_abs_lower_noise,v7_product_abs_lower_sum_max,v7_product_abs_lower_sum_min,v7_product_abs_lower_sum_mid,v7_product_abs_lower_sum_gap,v7_product_abs_lower_sum_p2p,v7_product_abs_lower_peak_in_range,v7_combined_lower_score,v7_combined_lower_norm,v7_combined_lower_peak,v7_combined_lower_shift,v7_combined_lower_noise,v7_combined_lower_sum_max,v7_combined_lower_sum_min,v7_combined_lower_sum_mid,v7_combined_lower_sum_gap,v7_combined_lower_sum_p2p,v7_combined_lower_peak_in_range,v7_bipolar_guided_lower_score,v7_bipolar_guided_lower_norm,v7_bipolar_guided_lower_peak,v7_bipolar_guided_lower_shift,v7_bipolar_guided_lower_noise,v7_bipolar_guided_lower_sum_max,v7_bipolar_guided_lower_sum_min,v7_bipolar_guided_lower_sum_mid,v7_bipolar_guided_lower_sum_gap,v7_bipolar_guided_lower_sum_p2p,v7_bipolar_guided_lower_peak_in_range,v7_bipolar_pair_lower_score,v7_bipolar_pair_lower_norm,v7_bipolar_pair_lower_peak,v7_bipolar_pair_lower_shift,v7_bipolar_pair_lower_noise,v7_bipolar_pair_lower_sum_max,v7_bipolar_pair_lower_sum_min,v7_bipolar_pair_lower_sum_mid,v7_bipolar_pair_lower_sum_gap,v7_bipolar_pair_lower_sum_p2p,v7_bipolar_pair_lower_peak_in_range,v7_bipolar_p2p_lower_score,v7_bipolar_p2p_lower_norm,v7_bipolar_p2p_lower_peak,v7_bipolar_p2p_lower_shift,v7_bipolar_p2p_lower_noise,v7_bipolar_p2p_lower_sum_max,v7_bipolar_p2p_lower_sum_min,v7_bipolar_p2p_lower_sum_mid,v7_bipolar_p2p_lower_sum_gap,v7_bipolar_p2p_lower_sum_p2p,v7_bipolar_p2p_lower_peak_in_range,v7_bipolar_energy_lower_score,v7_bipolar_energy_lower_norm,v7_bipolar_energy_lower_peak,v7_bipolar_energy_lower_shift,v7_bipolar_energy_lower_noise,v7_bipolar_energy_lower_sum_max,v7_bipolar_energy_lower_sum_min,v7_bipolar_energy_lower_sum_mid,v7_bipolar_energy_lower_sum_gap,v7_bipolar_energy_lower_sum_p2p,v7_bipolar_energy_lower_peak_in_range
0,lower,1,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lower,0,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,59,-4,774,28466,5.3598192,64,8,5311,54,75,64.5,21,84,0,3868,4.3954545,64,8,880,54,75,64.5,21,84,0,5184,4.3508183,64,0,1191.5,61,75,68,14,91,0,14.342694,7.4746577,51,12,1.9188429,59,39,49,20,88,0,285.70556,131.56063,67,12,2.1716646,59,75,67,16,102,0,4512,13.925926,71,9,324,62,81,71.5,19,100,0,102,2.2173913,63,12,46,59,75,67,16,102,0,4900,6.5376918,69,9,749.5,62,81,71.5,19,100,0
2,upper,1,,,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,59,-4,774,28466,5.3598192,64,8,5311,54,75,64.5,21,84,0,3868,4.3954545,64,8,880,54,75,64.5,21,84,0,5184,4.3508183,64,0,1191.5,61,75,68,14,91,0,14.342694,7.4746577,51,12,1.9188429,59,39,49,20,88,0,285.70556,131.56063,67,12,2.1716646,59,75,67,16,102,0,4512,13.925926,71,9,324,62,81,71.5,19,100,0,102,2.2173913,63,12,46,59,75,67,16,102,0,4900,6.5376918,69,9,749.5,62,81,71.5,19,100,0
3,upper,0,,,200,0,,,,2670,56,-3,2670,180305,15.503439,66,-8,11630,56,76,66,20,233,0,27189,22.286066,66,-8,1220,56,76,66,20,233,0,27711,4.449422,66,-7,6228,60,76,68,16,233,0,39.515135,19.983757,66,-7,1.9773627,60,76,68,16,233,0,1926.9202,1190.0015,66,-8,1.6192586,56,76,66,20,233,0,26096,48.641193,68,-7,536.5,60,76,68,16,233,0,238,3.7777778,65,-10,63,58,77,67.5,19,238,0,27144,18.315789,64,-6,1482,59,76,67.5,17,234,0,,,,774,59,-4,774,28466,5.3598192,64,8,5311,54,75,64.5,21,84,0,3868,4.3954545,64,8,880,54,75,64.5,21,84,0,5184,4.3508183,64,0,1191.5,61,75,68,14,91,0,14.342694,7.4746577,51,12,1.9188429,59,39,49,20,88,0,285.70556,131.56063,67,12,2.1716646,59,75,67,16,102,0,4512,13.925926,71,9,324,62,81,71.5,19,100,0,102,2.2173913,63,12,46,59,75,67,16,102,0,4900,6.5376918,69,9,749.5,62,81,71.5,19,100,0
4,upper,1,,,200,0,,,,3430,76,-6,3430,182396,6.5801797,66,12,27719,58,76,67,18,233,0,27686,5.6398452,65,12,4909,58,76,67,18,233,0,36228,7.5310259,66,-7,4810.5,55,76,65.5,21,131,0,28.163933,9.3992634,187,-9,2.9963978,195,179,187,16,82,0,999.62192,587.31012,69,-3,1.7020342,61,76,68.5,15,172,0,28556,30.904762,67,9,924,58,76,67,18,242,0,242,2.6888889,64,9,90,58,76,67,18,242,0,28556,11.514516,64,9,2480,58,76,67,18,242,0,,,,774,59,-4,774,28466,5.3598192,64,8,5311,54,75,64.5,21,84,0,3868,4.3954545,64,8,880,54,75,64.5,21,84,0,5184,4.3508183,64,0,1191.5,61,75,68,14,91,0,14.342694,7.4746577,51,12,1.9188429,59,39,49,20,88,0,285.70556,131.56063,67,12,2.1716646,59,75,67,16,102,0,4512,13.925926,71,9,324,62,81,71.5,19,100,0,102,2.2173913,63,12,46,59,75,67,16,102,0,4900,6.5376918,69,9,749.5,62,81,71.5,19,100,0
5,lower,1,,,200,0,,,,3430,76,-6,3430,182396,6.5801797,66,12,27719,58,76,67,18,233,0,27686,5.6398452,65,12,4909,58,76,67,18,233,0,36228,7.5310259,66,-7,4810.5,55,76,65.5,21,131,0,28.163933,9.3992634,187,-9,2.9963978,195,179,187,16,82,0,999.62192,587.31012,69,-3,1.7020342,61,76,68.5,15,172,0,28556,30.904762,67,9,924,58,76,67,18,242,0,242,2.6888889,64,9,90,58,76,67,18,242,0,28556,11.514516,64,9,2480,58,76,67,18,242,0,,,,860,59,7,860,33841,6.0135051,64,7,5627.5,59,75,67,16,118,0,5818,7.4781491,49,9,778,59,39,49,20,107,0,6723,5.4569805,64,-7,1232,61,70,65.5,9,49,0,14.807162,8.5227083,73,-3,1.7373776,61,75,68,14,85,0,299.66876,113.42757,73,-3,2.6419394,61,75,68,14,85,0,6490,20.030864,67,7,324,59,75,67,16,118,0,118,2.2692308,63,7,52,59,75,67,16,118,0,6490,8.6303191,63,7,752,59,75,67,16,118,0
6,upper,0,,,200,0,,,,4050,54,-3,4050,325435,7.4930638,63,-5,43431.5,75,54,64.5,21,309,0,47926,7.0541654,64,-5,6794,75,54,64.5,21,309,0,48858,7.0142847,63,-4,6965.5,74,54,64,20,303,0,15.523456,7.6499507,60,7,2.029223,72,54,63,18,247,0,362.16069,135.54655,62,6,2.6718547,72,51,61.5,21,247,0,45288,21.69485,65,-5,2087.5,75,54,64.5,21,309,0,309,2.575,63,-5,120,75,54,64.5,21,309,0,45732,8.4688889,63,-5,5400,75,54,64.5,21,309,0,,,,860,59,7,860,33841,6.0135051,64,7,5627.5,59,75,67,16,118,0,5818,7.4781491,49,9,778,59,39,49,20,107,0,6723,5.4569805,64,-7,1232,61,70,65.5,9,49,0,14.807162,8.5227083,73,-3,1.7373776,61,75,68,14,85,0,299.66876,113.42757,73,-3,2.6419394,61,75,68,14,85,0,6490,20.030864,67,7,324,59,75,67,16,118,0,118,2.2692308,63,7,52,59,75,67,16,118,0,6490,8.6303191,63,7,752,59,75,67,16,118,0
7,lower,0,,,200,0,,,,4050,54,-3,4050,325435,7.4930638,63,-5,43431.5,75,54,64.5,21,309,0,47926,7.0541654,64,-5,6794,75,54,64.5,21,309,0,48858,7.0142847,63,-4,6965.5,74,54,64,20,303,0,15.523456,7.6499507,60,7,2.029223,72,54,63,18,247,0,362.16069,135.54655,62,6,2.6718547,72,51,61.5,21,247,0,45288,21.69485,65,-5,2087.5,75,54,64.5,21,309,0,309,2.575,63,-5,120,75,54,64.5,21,309,0,45732,8.4688889,63,-5,5400,75,54,64.5,21,309,0,,,,1008,70,-1,1008,51135,6.2004365,62,-4,8247,70,52,61,18,133,0,8329,6.2087216,61,-3,1341.5,71,51,61,20,131,0,8767,4.2599611,60,-2,2058,71,53,62,18,132,0,14.996403,6.7667952,59,5,2.2161751,70,50,60,20,116,0,374.55031,208.71005,60,5,1.7945964,70,50,60,20,116,0,9045,17.666016,62,-5,512,74,53,63.5,21,138,0,138,2.3389831,62,-5,59,74,53,63.5,21,138,0,9246,6.3502747,62,-5,1456,74,53,63.5,21,138,0
8,lower,1,,,200,0,,,,4050,54,-3,4050,325435,7.4930638,63,-5,43431.5,75,54,64.5,21,309,0,47926,7.0541654,64,-5,6794,75,54,64.5,21,309,0,48858,7.0142847,63,-4,6965.5,74,54,64,20,303,0,15.523456,7.6499507,60,7,2.029223,72,54,63,18,247,0,362.16069,135.54655,62,6,2.6718547,72,51,61.5,21,247,0,45288,21.69485,65,-5,2087.5,75,54,64.5,21,309,0,309,2.575,63,-5,120,75,54,64.5,21,309,0,45732,8.4688889,63,-5,5400,75,54,64.5,21,309,0,,,,1550,74,8,1550,65538,8.6644632,63,9,7564,74,53,63.5,21,147,0,13337,12.429637,63,9,1073,74,53,63.5,21,147,0,13724,6.891288,62,11,1991.5,71,51,61,20,147,0,26.254092,14.327913,62,12,1.8323738,70,54,62,16,148,0,708.4492,324.40465,63,10,2.1838442,71,51,61,20,145,0,10437,23.065193,64,7,452.5,74,53,63.5,21,149,0,153,2.6842105,62,8,57,74,53,63.5,21,153,0,11016,8.3139623,62,8,1325,74,53,63.5,21,153,0
9,upper,1,,,200,0,,,,5720,55,12,5720,328131,8.1568827,63,11,40227.5,72,56,64,16,296,0,50943,10.998057,51,9,4632,39,54,46.5,15,241,0,52285,6.9523303,58,8,7520.5,70,54,62,16,250,0,56.337885,28.323521,63,-1,1.9890848,75,54,64.5,21,249,0,2106.7882,846.77307,64,-1,2.4880199,75,54,64.5,21,249,0,39336,32.834725,65,8,1198,75,54,64.5,21,302,0,302,2.7962963,63,8,108,75,54,64.5,21,302,0,39864,9.4643875,63,8,4212,75,54,64.5,21,302,0,,,,1550,74,8,1550,65538,8.6644632,63,9,7564,74,53,63.5,21,147,0,13337,12.429637,63,9,1073,74,53,63.5,21,147,0,13724,6.891288,62,11,1991.5,71,51,61,20,147,0,26.254092,14.327913,62,12,1.8323738,70,54,62,16,148,0,708.4492,324.40465,63,10,2.1838442,71,51,61,20,145,0,10437,23.065193,64,7,452.5,74,53,63.5,21,149,0,153,2.6842105,62,8,57,74,53,63.5,21,153,0,11016,8.3139623,62,8,1325,74,53,63.5,21,153,0
